"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Several things become apparent after the first few minutes of this film. First, the scenery and special effects are incredible -- the best, and if everything else worked as well, its austere presence might have made it a great film.<br /><br />But as soon as the actors open their mouths, you suddenly realize that you are sitting in your den watching a movie. The story itself is full of cleché and melodrama, and the dialogue is some of the [[worst]] I've ever seen. And as if that weren't bad enough, they made a fool out of the protagonist, and in my experience, you don't want to do that unless the film is a comedy.<br /><br />Bottom line: I had a hard time getting into it, and I wouldn't recommend it.","Several things become apparent after the first few minutes of this film. First, the scenery and special effects are incredible -- the best, and if everything else worked as well, its austere presence might have made it a great film.<br /><br />But as soon as the actors open their mouths, you suddenly realize that you are sitting in your den watching a movie. The story itself is full of cleché and melodrama, and the dialogue is some of the [[best]] I've ever seen. And as if that weren't bad enough, they made a fool out of the protagonist, and in my experience, you don't want to do that unless the film is a comedy.<br /><br />Bottom line: I had a hard time getting into it, and I wouldn't recommend it.",0.0006046295166015625,0.6123305559158325,0,1,0,20,"Successful"
"Aside from the gunfight scene, I felt the movie was a [[waste]] of celluloid. Robert Duvall, Kevin Costner, and [[Annette]] Bening could have played those roles in their sleep. The dialog was [[marginally]] tolerable (and there was [[plenty]] of it--no one sat together quietly in this movie), the plot was all over the [[map]] as if they could not decide how many themes to cram into the story, there was no subtlety at all--foreshadowing hit you between the eyes and they led you by the nose through most of the story (I think they added all the dialog to make sure you didn't miss anything), and the editing really needed tightening up (each actor's screen time was more quantity than quality--again, too much dialog).<br /><br />The entire story took place over the course of a few days, but everything that happened took on epic [[proportions]], much like how day-to-day happenings","Aside from the gunfight scene, I felt the movie was a [[bit]] of celluloid. Robert Duvall, Kevin Costner, and [[juliette]] Bening could have played those roles in their sleep. The dialog was [[not]] tolerable (and there was [[tons]] of it--no one sat together quietly in this movie), the plot was all over the [[line]] as if they could not decide how many themes to cram into the story, there was no subtlety at all--foreshadowing hit you between the eyes and they led you by the nose through most of the story (I think they added all the dialog to make sure you didn't miss anything), and the editing really needed tightening up (each actor's screen time was more quantity than quality--again, too much dialog).<br /><br />The entire story took place over the course of a few days, but everything that happened took on epic [[resonance]], much like how day-to-day happenings",0.0009195804595947266,0.7344233989715576,0,1,0,99,"Successful"
"I saw the 7.5 IMDb rating on this movie and on the basis of that decided to watch this movie which my roommate had rented. She said she had seen it before. ""It's [[funny]] and [[sad]]! I cried the first time I saw it,"" she gushed. Maybe compared to other Bollywood movies this deserves a [[7]].5 out of 10, but in comparison to all the other movies I have seen in my lifetime, this deserves no more than a 3. Any movie where I can perpetually guess what is going to happen next is no good for me. The characters are [[unbelievable]], how the act is not realistic at all and their motives are contrived. It is over dramatic and the songs aren't all that [[great]]. My biggest problem with Bollywood movies is the lack of subtlety. All the emotions are way too overdone and thus not at all realistic.","I saw the 7.5 IMDb rating on this movie and on the basis of that decided to watch this movie which my roommate had rented. She said she had seen it before. ""It's [[fun]] and [[wonderful]]! I cried the first time I saw it,"" she gushed. Maybe compared to other Bollywood movies this deserves a [[seven]].5 out of 10, but in comparison to all the other movies I have seen in my lifetime, this deserves no more than a 3. Any movie where I can perpetually guess what is going to happen next is no good for me. The characters are [[real]], how the act is not realistic at all and their motives are contrived. It is over dramatic and the songs aren't all that [[popular]]. My biggest problem with Bollywood movies is the lack of subtlety. All the emotions are way too overdone and thus not at all realistic.",0.004658699035644531,0.6396694779396057,0,1,0,57,"Successful"
"I just saw this movie (mainly because Brady Corbet is in it), and I must [[say]] that I was not [[pleased]]. <br /><br />Of course, the computer graphics were amazing, but the story line needed a little touch-up. Also, I think this movie would have done much better with more curses and blood, as well if it were rated PG-13. <br /><br />That would definitely attract more people to see it-->teens. What would also attract more teens (particularly teen girls), would be a large close up of Brady Corbet on the [[Thunderbirds]] poster! <br /><br />Even though the movie had it's down points, I still saw it and thought it was okay!","I just saw this movie (mainly because Brady Corbet is in it), and I must [[remember]] that I was not [[disappointed]]. <br /><br />Of course, the computer graphics were amazing, but the story line needed a little touch-up. Also, I think this movie would have done much better with more curses and blood, as well if it were rated PG-13. <br /><br />That would definitely attract more people to see it-->teens. What would also attract more teens (particularly teen girls), would be a large close up of Brady Corbet on the [[paramount]] poster! <br /><br />Even though the movie had it's down points, I still saw it and thought it was okay!",0.0032448172569274902,0.8817706108093262,0,1,0,50,"Successful"
"Ok, so it's an adult movie. But it really is very tastefully done. It's obvious that the producers spent a lot of time and money into making a classy sort of movie. I was [[pleasantly]] surprised at just how good it was. Even the acting was [[fairly]] decent. The plot was more solid than most adult films I've seen. The camera work was above [[average]]. It's just a good flick!!","Ok, so it's an adult movie. But it really is very tastefully done. It's obvious that the producers spent a lot of time and money into making a classy sort of movie. I was [[not]] surprised at just how good it was. Even the acting was [[slightly]] decent. The plot was more solid than most adult films I've seen. The camera work was above [[optimal]]. It's just a good flick!!",0.005167126655578613,0.5558200478553772,1,0,1,45,"Successful"
"An occasionally surrealistic thriller that will push most people's buttons., the 4th Man is sure to offend anyone with a taste for the politically correct. The story's protagonist is a bisexual alcoholic Catholic writer, Gerard (Krabbe), with a seriously [[twisted]] sense of imagination. Verhoeven offers up<br /><br />Gerard has an example of everything wrong with the modern man. He's shiftless, delusional, unable to control his urges, afraid to commit to<br /><br />meaningful relationships, and utterly apathetic about life in general. As the character himself states at one point, he is a professional liar, unable to recall the truth.<br /><br />The movie opens with Gerard dreaming of spiders consuming Christ, and then waking to begin the long march to his own destruction. He [[chases]] off<br /><br />one man (a boyfriend presumably), then chases another at a train station. Later, at a lecture, he meets a woman who seems to want to","An occasionally surrealistic thriller that will push most people's buttons., the 4th Man is sure to offend anyone with a taste for the politically correct. The story's protagonist is a bisexual alcoholic Catholic writer, Gerard (Krabbe), with a seriously [[distorted]] sense of imagination. Verhoeven offers up<br /><br />Gerard has an example of everything wrong with the modern man. He's shiftless, delusional, unable to control his urges, afraid to commit to<br /><br />meaningful relationships, and utterly apathetic about life in general. As the character himself states at one point, he is a professional liar, unable to recall the truth.<br /><br />The movie opens with Gerard dreaming of spiders consuming Christ, and then waking to begin the long march to his own destruction. He [[drops]] off<br /><br />one man (a boyfriend presumably), then chases another at a train station. Later, at a lecture, he meets a woman who seems to want to",0.04407447576522827,0.7606199979782104,1,0,1,42,"Successful"
"I went in to see D-War on a whim and with very low expectations. The movie failed to meet them.<br /><br />I don't mind stories that stretch credulity - remember [[Reign]] of Fire? - but I do [[expect]] them to be internally [[consistent]]. This film leapt from howler to howler without pausing for breath, all interspersed with special effects that lagged far behind the likes of LOTR or even Godzilla.<br /><br />A shape-shifting mystic warrior from Korea, curiously metamorphosed into a Caucasian antique dealer and popping up like deus ex machina to get the hapless protagonists out of their latest mess. A special agent from the FBI who seems to be completely boned up on ancient Korean folklore because of the Fed's excellent ""paranormal division"" - which has gone unremarked up to this point. Lovers kissing on deserted beaches where one exclaims ""I never meant for this to happen."" A","I went in to see D-War on a whim and with very low expectations. The movie failed to meet them.<br /><br />I don't mind stories that stretch credulity - remember [[chariot]] of Fire? - but I do [[enjoy]] them to be internally [[honest]]. This film leapt from howler to howler without pausing for breath, all interspersed with special effects that lagged far behind the likes of LOTR or even Godzilla.<br /><br />A shape-shifting mystic warrior from Korea, curiously metamorphosed into a Caucasian antique dealer and popping up like deus ex machina to get the hapless protagonists out of their latest mess. A special agent from the FBI who seems to be completely boned up on ancient Korean folklore because of the Fed's excellent ""paranormal division"" - which has gone unremarked up to this point. Lovers kissing on deserted beaches where one exclaims ""I never meant for this to happen."" A",0.0014971494674682617,0.6089638471603394,0,1,0,51,"Successful"
"'Mojo' is a story of fifties London, a world of budding rock stars, violence and forced homosexuality. 'Mojo' uses a technique for shooting the 1950s often seen in films that stresses the physical differences to our own time but also represents dialogue in a highly exaggerated fashion (owing much to the way that speech was represented in films made in that period); I have no idea if people actually spoke like this outside of the movies, but no films made today and set in contemporary times use such stylised language. It's as if the stilted discourse of 1950s screenwriters serves a common shorthand for a past that seems, in consequence, a very distant country indeed; and therefore stresses the particular, rather than the universal, in the story. 'Mojo' features a strong performance from Ian Hart and annoying ones from Aiden Gillan and Ewan Bremner, the latter still struggling to build","'Mojo' is a story of fifties London, a world of budding rock stars, violence and forced homosexuality. 'Mojo' uses a technique for shooting the 1950s often seen in films that stresses the physical differences to our own time but also represents dialogue in a highly exaggerated fashion (owing much to the way that speech was represented in films made in that period); I have no idea if people actually spoke like this outside of the movies, but no films made today and set in contemporary times use such stylised language. It's as if the stilted discourse of 1950s screenwriters serves a common shorthand for a past that seems, in consequence, a very distant country indeed; and therefore stresses the particular, rather than the universal, in the story. 'Mojo' features a strong performance from Ian Hart and annoying ones from Aiden Gillan and Ewan Bremner, the latter still struggling to build",0.9303517937660217,0.9303517937660217,1,1,0,1,"Skipped"
"This film is a [[sleeper]] because Rod Steiger's is the only big name in the credits. Yet, all of the supporting actors fit well with his character. It was fitting that in his last film, Rod Steiger reminded us once more of his inventive [[power]] as an actor. He portrayed a grandfather's impulsiveness, stubbornness, and acceptance of the end of life in a characteristically individual and convincing performance. Because his character was close to death, the story brings us closer to the most precious things granted to us: the privilege of life, relationships with family members, and the empathy of those who care for us. His search together with his grand daughter for one of his sons [[provided]] enough [[suspense]] to keep me waiting, expecting a highly-charged climax such as the meeting of two long-separated elderly lovers who were also on the cusp of death in ""Forever Young."" I [[wondered]]","This film is a [[disaster]] because Rod Steiger's is the only big name in the credits. Yet, all of the supporting actors fit well with his character. It was fitting that in his last film, Rod Steiger reminded us once more of his inventive [[abilities]] as an actor. He portrayed a grandfather's impulsiveness, stubbornness, and acceptance of the end of life in a characteristically individual and convincing performance. Because his character was close to death, the story brings us closer to the most precious things granted to us: the privilege of life, relationships with family members, and the empathy of those who care for us. His search together with his grand daughter for one of his sons [[had]] enough [[insight]] to keep me waiting, expecting a highly-charged climax such as the meeting of two long-separated elderly lovers who were also on the cusp of death in ""Forever Young."" I [[defaulted]]",0.0029112696647644043,0.762597918510437,1,0,1,77,"Successful"
"I grew up in [[Winnipeg]] and saw the treatment of the natives almost everyday. There are good and bad in EVERY race, why make them all out to be bad? That goes for all races today. John [[Harper]] was an [[educated]] man, he graduated from high school, he even had a year of university under his belt before going back to the reserve. How do I know this? John Harper lived with my family for the 3 years he was in high school, and he kept in contact with us the year after graduation. He was a kind and [[gentle]] soul, he could be fun loving and he could be serious when the times were right. I wasn't very old when he left our house, but I can still [[remember]] all the times he helped me with my [[homework]] when my own brother couldn't be bothered. He even taught grade","I grew up in [[minnesota]] and saw the treatment of the natives almost everyday. There are good and bad in EVERY race, why make them all out to be bad? That goes for all races today. John [[norman]] was an [[attractive]] man, he graduated from high school, he even had a year of university under his belt before going back to the reserve. How do I know this? John Harper lived with my family for the 3 years he was in high school, and he kept in contact with us the year after graduation. He was a kind and [[loyal]] soul, he could be fun loving and he could be serious when the times were right. I wasn't very old when he left our house, but I can still [[note]] all the times he helped me with my [[chores]] when my own brother couldn't be bothered. He even taught grade",0.02944868803024292,0.8162638545036316,1,0,1,100,"Successful"
"This movie was [[incredible]]. I would recommend it to anyone, much better than what I had already [[anticipated]]. It was definitely a heart-wrenching [[spectacular]] movie. It is an amazing story, with amazing actors and [[creators]]. [[Definitely]] [[another]] great movie with Denzel Washington. (shouldn't surprise anyone) Derek Luke did a wonderful job as well.","This movie was [[superb]]. I would recommend it to anyone, much better than what I had already [[enjoyed]]. It was definitely a heart-wrenching [[scary]] movie. It is an amazing story, with amazing actors and [[props]]. [[not]] [[this]] great movie with Denzel Washington. (shouldn't surprise anyone) Derek Luke did a wonderful job as well.",0.002862215042114258,0.015022754669189453,1,1,1,78,"Failed"
"Years before pre-nuptial agreements became a regular thing, [[Ernest]] Lubitsch made a screen comedy on which they are the basis. Bluebeard's Eighth Wife involves Gary Cooper as a multi-millionaire living on the French Riviera who's been married seven times and now marries Claudette [[Colbert]] for number eight. But Cooper's a good sport about it, he always settles with his ex-wives for a $50,000.00 a year as per an agreement they sign before marrying him. Sounds like what we now call a pre-nuptial agreement.<br /><br />Of course Claudette [[wants]] a lot more than that and she feels [[Cooper]] takes an [[entirely]] too business like approach to marriage. She'd like the real deal and is willing to go some considerable lengths to get it.<br /><br />Bluebeard's Eighth Wife has some really funny moments, the original meeting of Cooper and [[Colbert]] in a men's store where Cooper is insisting he wants only pajama","Years before pre-nuptial agreements became a regular thing, [[director]] Lubitsch made a screen comedy on which they are the basis. Bluebeard's Eighth Wife involves Gary Cooper as a multi-millionaire living on the French Riviera who's been married seven times and now marries Claudette [[jones]] for number eight. But Cooper's a good sport about it, he always settles with his ex-wives for a $50,000.00 a year as per an agreement they sign before marrying him. Sounds like what we now call a pre-nuptial agreement.<br /><br />Of course Claudette [[hates]] a lot more than that and she feels [[love]] takes an [[altogether]] too business like approach to marriage. She'd like the real deal and is willing to go some considerable lengths to get it.<br /><br />Bluebeard's Eighth Wife has some really funny moments, the original meeting of Cooper and [[suzanne]] in a men's store where Cooper is insisting he wants only pajama",0.006724238395690918,0.06517744064331055,1,1,1,100,"Failed"
"""Ah Ritchie's made another [[gangster]] film with Statham"" thought the average fan, expecting another Snatch/Lock Stock; expecting perhaps a couple of temporal shifts, but none too hard for ""me and the lads"" to swallow after a few beers.<br /><br />Ah, pay attention, you do need to watch this film. No cups of tea, no extra diet cokes from the counter, no ""keep it running"" shouts as you nip to the [[fridge]] - watch the film! No laughs other than those you may make yourself from the considerable violence (and if that floats your boat, so be it) but [[sharp]] solid [[direction]], [[excellent]] [[dialogue]], and great [[performances]].<br /><br />My favourite - Big Pussy from The Sopranos, always a reliable hood.","""Ah Ritchie's made another [[gay]] film with Statham"" thought the average fan, expecting another Snatch/Lock Stock; expecting perhaps a couple of temporal shifts, but none too hard for ""me and the lads"" to swallow after a few beers.<br /><br />Ah, pay attention, you do need to watch this film. No cups of tea, no extra diet cokes from the counter, no ""keep it running"" shouts as you nip to the [[exit]] - watch the film! No laughs other than those you may make yourself from the considerable violence (and if that floats your boat, so be it) but [[overall]] solid [[actors]], [[decent]] [[costumes]], and great [[actors]].<br /><br />My favourite - Big Pussy from The Sopranos, always a reliable hood.",0.013790905475616455,0.46458005905151367,1,1,1,100,"Failed"
"I went into this movie determined to like it. I usually enjoy dramas like Wall Street, Glen Gary Glen Ross, Boiler Room, etc...I went into this movie thinking I would be on the edge of my seat. Plus, I am a big Pacino fan.<br /><br />What a piece of [[garbage]]. Quite [[possibly]] the [[worst]] movie I have seen in five years. This makes Pacino's debacle in Any Given Sunday actually look good. First, half the movie is watching Matthew McConaughey lift weights. OK, we get it. You are in [[shape]] Matt. We don't need to see every other scene with you pumping iron, shirtless.<br /><br />Secondly, how many plot holes are in this movie? Why introduce the phone call from Brandon's long lost Dad and never address it again? What was the point of his Mom hanging up on him - why [[even]] have her call to say he is","I went into this movie determined to like it. I usually enjoy dramas like Wall Street, Glen Gary Glen Ross, Boiler Room, etc...I went into this movie thinking I would be on the edge of my seat. Plus, I am a big Pacino fan.<br /><br />What a piece of [[fun]]. Quite [[definitely]] the [[hottest]] movie I have seen in five years. This makes Pacino's debacle in Any Given Sunday actually look good. First, half the movie is watching Matthew McConaughey lift weights. OK, we get it. You are in [[suit]] Matt. We don't need to see every other scene with you pumping iron, shirtless.<br /><br />Secondly, how many plot holes are in this movie? Why introduce the phone call from Brandon's long lost Dad and never address it again? What was the point of his Mom hanging up on him - why [[then]] have her call to say he is",0.000606536865234375,0.62591552734375,0,1,0,71,"Successful"
